"CLIMDIV";"lon";"lat"
4106;-100.15170918;30.59541759
4107;-97.54474163;29.30631493
4109;-98.9269556;27.91653639
4108;-95.55012755;29.42949977
4110;-97.88886032;26.32961907
3901;-102.7583394;45.25414843
3902;-100.28050837;45.47143346
3903;-97.84139249;45.45982396
3904;-103.66443649;43.92352984
3906;-100.22923275;44.34310056
3907;-97.77036974;44.50064569
3909;-97.72566781;43.41831297
3908;-100.38059005;43.35597657
3905;-102.48483734;43.73827985
1701;-69.29780635;46.03210973
1702;-69.22437319;44.73869867
1703;-68.98170658;44.2225727
2701;-71.52812823;44.40915397
2702;-71.60433462;43.3250284
4302;-73.09606849;44.00095534
4301;-72.62418669;43.27954144
4303;-72.31645493;44.46158772
1901;-73.07617734;42.36694037
3203;-98.17179712;48.38977056
3807;-80.62421332;32.90571283
1903;-70.78781811;41.98537356
601;-73.19420164;41.80976268
602;-72.53641519;41.67096004
3701;-71.55570522;41.67620745
3008;-74.87261971;44.65113795
3009;-77.59889685;43.15811817
3003;-74.69190639;43.86131036
3007;-73.63208164;44.27103578
3005;-73.7786401;42.20548153
3006;-74.91781566;43.10215595
3001;-77.89268412;42.24670559
3002;-75.11663291;42.29905085
3004;-73.17307065;40.81722231
2801;-74.60553835;40.84447122
2802;-74.74235731;39.82536474
2803;-74.42224268;39.6104715
3010;-77.04511939;42.73967261
4601;-81.01082199;39.5569596
4603;-81.81540598;38.32445071
4602;-80.51372041;39.1422564
4604;-80.27393048;38.4858253
4605;-81.05144902;37.56014367
4606;-78.68419138;39.17613275
504;-104.73384474;40.12704444
502;-107.70698888;39.1042327
505;-106.16016435;37.62465934
501;-103.97361744;38.1006145
503;-102.63255168;39.74440813
407;-116.51522012;34.9810149
403;-119.97970628;39.75529072
402;-121.55234924;39.95052202
405;-119.79442629;36.8249206
401;-123.04585202;40.51933802
404;-121.31573757;36.50134239
406;-118.26332801;34.01815484
2603;-116.36250787;38.00380849
2602;-115.60889874;40.40791778
2601;-118.66641939;40.51590634
2604;-115.15222848;36.37556055
4801;-110.10354283;44.66834494
4802;-110.6079001;43.56409639
4804;-108.40978975;44.22140497
4805;-106.31775443;44.21623752
4806;-104.84459206;44.30799574
4807;-104.83136923;43.37301144
4803;-109.58190461;41.85378167
4810;-107.11192678;41.91367163
4808;-105.25634646;42.14441589
4809;-108.6260151;43.18666984
4201;-113.32155778;39.93700459
4203;-112.15190713;40.72762051
4205;-110.95506145;40.75306954
4206;-109.77472835;40.00614051
4207;-110.17988553;38.21471386
4204;-112.08958259;38.24882131
4202;-113.53033643;37.17620741
3509;-117.62305435;43.19342774
3507;-120.03844157;43.36965522
3505;-121.39754769;42.98878544
3503;-123.04975221;42.8183481
3504;-122.08698177;44.44880196
3506;-120.16821896;45.41713453
3508;-118.0063086;45.05414228
3501;-123.89649067;44.13089335
3502;-122.92534316;44.74323666
2903;-103.6594216;35.35175538
2907;-104.29876545;33.41533511
2901;-108.19710882;36.09005395
2902;-105.7054207;36.1786999
2908;-107.34598508;32.3569293
2904;-108.03107604;34.11365886
